search_term,video_title,comment,sentiment,score
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,the storytelling + background music combo made this way more intense than i expected 🔥,POSITIVE,1.0
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,Hardly any cheese on the pizza,NEGATIVE,1.0
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,Is this a paid advertisement or a review?,NEGATIVE,1.0
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,Truly a disappointment - No cartouche.,NEGATIVE,1.0
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,"what was beer list?, please consider the beer list........Alexander....thank you",POSITIVE,1.0
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,great video bit i was wondering: are you drinking a whole magnum bottle of champagne plus all that vines? 😅,POSITIVE,0.97
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,"They make great food videos thats for dang sure, a separate extra skill",POSITIVE,1.0
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,indian curry fish head too it's good,POSITIVE,1.0
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,How have I missed this for months?  Fcking youtube.,NEGATIVE,1.0
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,"I have followed you over many restaurants you have been over the world and admire your taste in food, I ate at Fallow last  month and enjoyed there food I They are amazing chefs who create such a versatile and creative  food !

! i",POSITIVE,1.0
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,Met you a few years ago. Top bloke,POSITIVE,1.0
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,"What is the desert tart here? I can't hear what he said, a whey tart?",NEGATIVE,1.0
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,"Great vid, very enjoyable, looks like a fantastic place to visit",POSITIVE,1.0
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,"Finally went and found it ok, but punching beyond it's weight and far too expensive for what it was... their marketing is clearly better than their delivery....",NEGATIVE,0.95
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,Disappointing lack of cartouche and butter.,NEGATIVE,1.0
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,I’ll never go back to Britain. They ve ruined it,NEGATIVE,1.0
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,"I think the genius of this resturant is that they use cafeteria style mass production but do it with high quallity. 4:40 and 8:50 uses the same Kolrahbi but in two different dishes, and the 8:50 dish is obviously cut from a massive slab of celery root and potato confit but finished on the plancha or deep fried. It follows the philosophy of really good chinese or italian resturants, lots of prep time but takes 1-2 minutes to send out on the pass, one ingredient can be used in multiple dishes and changes the flavor depending on if the dish is vegetable or meat focused",NEGATIVE,0.99
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,You need to go to Le pied de Cochon in Montréal!!!!!,POSITIVE,0.91
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,It's the ingenious use of cheaper ingredients that truly surprises.,POSITIVE,1.0
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,was it free?,NEGATIVE,0.99
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,"This guy is hilarious, he has no clue how to actually describe what he's tasting, but he's watched enough Food Network to drop the Texture and acidity keywords and of course Umami 26 times so he sounds just like a scripted Food network presenter.....absolutely ridiculous.",NEGATIVE,1.0
London restaurant review,I Tried LONDON&#39;S MOST HYPED Restaurant – Fallow Review,finally you have found a restaurant that actually fed you.,POSITIVE,1.0
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)",how the f do u eat so much man :D  im big eater but jesus :D love the vid !,POSITIVE,1.0
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)",bros zooted,POSITIVE,0.99
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)","This place is inception.
A kitchen in a kitchen in a kitchen :D",POSITIVE,1.0
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)",hey YOOOOOO hahahaha Mark at fallow,NEGATIVE,0.93
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)",Cant wait to visit. Looks amazing ❤,POSITIVE,1.0
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)",Too bad a knife and fork...Were they extra?,NEGATIVE,1.0
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)",Nice,POSITIVE,1.0
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)",Prices seem very reasonable for a higher end restaurant,POSITIVE,0.96
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)",Love Mark. But everytime i see his kid his eyes looks into an ipad or smartphone.,NEGATIVE,0.73
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)",Bro looking like he hasn’t ate for days for someone who eats so much.,NEGATIVE,0.99
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)","It's very popular online yes but the menu is just so odd. It's a tourist destination, not a place for locals, for the very few left that are in London.",NEGATIVE,0.98
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)","Not just yet, AJ! 📣",POSITIVE,0.91
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)",I'm a chef de partie where we do 1000 people a day at my dining hall. Not the hard fr,POSITIVE,1.0
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)",What a huge operation!  I don’t think I’ve ever seen a restaurant that big!,POSITIVE,0.99
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)",Open in Australia please,POSITIVE,1.0
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)",I don't think there is a single food that Mark doesn't like. LOL! He loves it all.,POSITIVE,1.0
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)",Mark you need a nose wipe manager 😂,NEGATIVE,0.99
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)",Every body there is so nice,POSITIVE,1.0
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)",Call me weak but heads and trotters and the playing around with the anatomy is not necessarily for me! Give me the meat though!,NEGATIVE,1.0
London restaurant review,"I Tried London&#39;s Most Popular Restaurant!! (1,000 People a Day)","23:35, I can't go to sleep... I'm so hungry now, thank you...",POSITIVE,1.0
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),One of the best guides of London. I have viewed quiet a bit but this one is excellent,POSITIVE,1.0
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),Best ❤,POSITIVE,1.0
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),"This is one of the best travel videos I have seen. It was clear, logical, easy to follow maps, with the right amount of useful information. Thank you.",POSITIVE,1.0
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),"Thank you so much, mate!",POSITIVE,1.0
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),"Don't stay away from the National Portrait Gallery thinking that it's just paintings of ""famous royals"".  This outstanding museum, far less crowded and more accessible than the National Gallery around the corner, is also home to many excellent works featuring Paul McCartney, Jane Goodall,  Nelson Mandela,  James Joyce, Beatrix Potter, and many others. Don't miss it.",POSITIVE,1.0
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),Thank you very beautiful video legend city London ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,POSITIVE,1.0
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),good place ,POSITIVE,1.0
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),"This London 2025 travel guide is fantastic! 🇬🇧 The best things to see are covered so well—it’s perfect for first-time visitors or anyone planning a trip. Makes exploring the city so much easier and more exciting. Planning my own London visit soon, and thanks to Matrix Forex, managing travel money, currency exchange, and international payments has become super smooth, easy, and completely hassle-free",POSITIVE,1.0
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),Love the tour as prepping to go to London ❤🙏,POSITIVE,1.0
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),"This 2025 London travel guide is perfect 🇬🇧✨
It covers all the must-see sights, making planning easier for first-time visitors. On my London trips, having my travel money arranged in advance with **Forex Matrix** made exploring the city smooth and completely stress-free.",POSITIVE,1.0
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),You are the best!! Always brings a smile watching your enthusiasm showing us all these amazing places. Cheers! Keep these amazing videos coming.,POSITIVE,1.0
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),Great video man,POSITIVE,1.0
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),I compete in the English tournament I Poland,POSITIVE,0.99
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),I am a Indian but love london,POSITIVE,1.0
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),liked and subbed just for angel,POSITIVE,1.0
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),"Very helpful, thank you very much!",POSITIVE,1.0
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),Finally someone who put everything together & with a map. Great ojb!,POSITIVE,1.0
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),The best spot is the one without Americans.,POSITIVE,1.0
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),where can i go to not see any muslims or criminals????? i dont want to get stabbed,NEGATIVE,1.0
London tourist attractions vlog,The Best Things to See in London in 2026 (Travel Guide),What time of year did you make this video?? The weather looks beautiful. I’m planning a trip there in April,POSITIVE,1.0
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,"Thank you so much for the support on this video! If you're planning a trip to London, the all-inclusive City Pass could be helpful. It covers 90+ attractions, including the Tower of London and St. Paul’s Cathedral, and can save you up to 50%. Here’s the link if you want to check it out: https://gyg.me/QIsFXZ8h",POSITIVE,1.0
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,Lmao all the people going to London are in for a rude awakening,NEGATIVE,0.99
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,Islamic republic. .,POSITIVE,0.88
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,You need to work on your pronunciation as it spoils the video. You’re clearly a pom and yet the only pom I’ve ever heard who calls it the river “taymes”. It’s TEMS!,NEGATIVE,1.0
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,Is this a computerized narration? What British guy would pronounce Thames with a long A?,NEGATIVE,1.0
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,"BIG SUGGESTION…..SLOW DOWNNN!! You speak FAR too fast. It seems like you’re just reading a script, rather than relating info",NEGATIVE,1.0
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,Been looking into travel agencies London England lately — any recommendations around here?,NEGATIVE,1.0
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,That’s not the natural history museum AI so dumb innit,NEGATIVE,1.0
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,Millions of Americans appreciate & respect London's place in World History.,POSITIVE,1.0
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,Leadenhall Market is beautiful. Hope to visit is someday.,POSITIVE,1.0
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,Who would pay to go to londonstan.,NEGATIVE,0.97
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,"This 3-day London itinerary is super helpful for first-time visitors! 🇬🇧 From sightseeing to planning each day efficiently, it makes exploring the city so much easier. Planning my own London trip soon, and thanks to Matrix Forex, managing travel money, currency exchange, and international payments while traveling has become super smooth, easy, and completely hassle-free",POSITIVE,1.0
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,"""Unveiling the History of Sheffield"" by Andy Reven is the best book about the UK’s finest city. It’s a quick read, impressive, and makes you feel smart. You should read this nonfiction book now. Google it!",POSITIVE,1.0
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,"i wouldnt visit london with out a stab vest , also dont walk around with your phone in your hand it is not safe",NEGATIVE,1.0
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,I am going there later this year ❤,POSITIVE,1.0
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,"Yes is beatifull, I think we will go!!",POSITIVE,1.0
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,Hi what camera did you used on this video?,NEGATIVE,0.99
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,Thought control country. Dont do it !!,NEGATIVE,1.0
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,"Hello ilove 🇺🇸 🇺🇲 companye america famle kadir adam firom 🇪🇹 ethiopia i,mberokes ❤❤❤❤❤❤❤❤❤❤❤❤❤❤",POSITIVE,0.98
London tourist attractions vlog,How To Spend 3 Days In LONDON As A First Time Visitor | London Travel Guide and Itinerary 2025,Kisha,POSITIVE,0.99
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,"Planning a trip to London? Here are my favourite places to stay & things to do in the British capital 🇬🇧

Places to Stay 🏨
1. The Savoy is one of the city's best luxury hotels: https://destinationwellknown.com/link/savoy-yt 
2. Sea Containers has a 10/10 location and the price isn’t too bad: https://destinationwellknown.com/link/seacontainers-yt 
3. Park Plaza Westminster Bridge is a good, family-friendly hotel near the London Eye: https://destinationwellknown.com/link/parkplazawestminster-yt 
4. Zedwell Piccadilly Circus is a cheap, no-thrills hotel in the heart of London: https://destinationwellknown.com/link/zedwellpiccadilly-yt 

Top Activities & Tours 🎟
1. Visit the impressive Harry Potter Studios (book tickets well in advance, as they always sell out): https://destinationwellknown.com/link/hpstudioslondon-yt 
2. Experience a musical in the West End - see showtimes and get cheap tickets here: https://destinationwellknown.com/link/londontheatredirect-yt 
3. Take an Afternoon Tea river cruise on the Thames: https://destinationwellknown.com/link/afternoonteacruise-yt 
4. Visit the iconic London Eye - get fast-track tickets here to avoid the long queue: https://destinationwellknown.com/link/londoneye-yt 
5.  And the same goes for the Tower of London: https://destinationwellknown.com/link/toweroflondon-yt",POSITIVE,0.94
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,"Go and walk round the Inns of Court, or find the Lost Rivers of London.",NEGATIVE,0.98
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,"First of all, THANK YOU SO MUCH! I am an English teacher in Brazil, and I quite often need to find videos about trips my students are planning to take. Your videos are simply perfect! Full of useful information, without any unnecessary, overly complicated words, and straight to the point. Cheers! I'll be recommending your videos to all of my students.",POSITIVE,1.0
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,"For those visiting London with a long list of places to see but no idea how to plan it all, this guide is for you. As someone born and raised in London, here's the biggest piece of advice I can give anyone visiting the city. Don't think about London as one giant place. Instead, think about it in two ways:

Geographically – North, South, East, West and Central London. By the TfL transport zones – Zones 1-9, and now combine those two ideas.

A common mistake visitors make is trying to tick off attractions from all over London in the same day. On a map they can look close together, but London is huge. Even Central London is much larger than most people expect, and travelling back and forth across the city wastes valuable time that could be spent actually enjoying it.

Instead, before your trip and heading out each day, decide on one area of London and explore everything nearby. Look at the main attraction you want to visit, then ask yourself, ""What else is within walking distance or just a few Tube stops away?"" Build your day around that area rather than criss-crossing the city.

To make planning even easier, I like to break Central London into three sections and add in other areas of London: West-Central, Central-Central, East-Central, North London and South London (South of the river).

Although many of London's biggest attractions are in Zone 1 (the city center), it is still enormous. Breaking it into 3 smaller sections makes it much easier to plan your days and helps you discover places you might otherwise miss.

For example, if you're spending the day in West-Central, you could visit Hyde Park, Kensington Palace and the world-famous museums in South Kensington. But instead of heading across London afterwards or back into Central-central (where there are too many things to see), stay in the area and explore nearby neighbourhoods like Notting Hill, Shepherd's Bush (home to Westfield London), or Hammersmith (these are in zones 1-3). You'll not only save time travelling, but you'll also experience parts of London that many tourists never get to see.

The same idea applies wherever you are. Pick an area, explore everything around it, then save the next part of London for another day. You'll spend less time on trains, less time rushing, and far more time actually experiencing the city.

London isn't a city you ""complete"" in one day—or even one trip. The best way to see it is area by area, letting each neighbourhood tell its own story.",POSITIVE,0.96
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,"If you get an oyster travel card to check the balance, just tap the yellow card readers, at tube stations .
 If you have money left on them, you can use them on your return any time or claim a refund if over a certain amount .",NEGATIVE,1.0
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,Velsi londer jan te rrezikshum,NEGATIVE,0.83
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,Not the frozen strawberries 😂,NEGATIVE,0.97
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,"Neil Wu 我是雨神，到英國的每個城市都遇到了下雨，讓他們不缺水危機。紐約跟倫敦並列第二名 因為倫敦是世界級的首都啊 你想得到的東西倫敦都有 你想不到的東西倫敦也有 所以倫敦是世界級首都 倫敦有很多很多免費的博物館 大英帝國世界級的博物館主要集中在倫敦 然後是紐約跟現場 所以你到大英帝國如果沒有去倫敦 你就等同於沒有去過大英帝國 大英帝國的倫敦就是 倫敦就代表著昔日的大英帝國的遺產 就像莫斯科代表著蘇聯的遺產 所以到大英帝國一定要去倫敦 倫敦有太多太多的講不完的故事 然後呢 本來在台灣有過不了的坎 人生都就一些坎 過不了的坎就會自殺 所以台灣很多人在自殺 每天台灣死很多人 比如說 高雄有一個國小的資深老師 他就跳樓自殺了 那就是在台灣地域沒有過台灣地域這個坎 那很多在南投也有國小老師自殺的 他也是沒有過這個坎 沒有過台灣地域這個坎 在台北市新北市也有人自殺的 他也是沒有過台灣這個坎 本來我在台灣也有遇到這個坎 過不去的坎 但是每當我遇到過不去的坎的時候 我就會去想想大英帝國的美麗與哀愁 那你就可以關關難過關關過 就可以過這個坎 如果你得意的時候 你要想想大英帝國的美麗與哀愁 當你示意的時候,你要想想大英帝國的美麗與哀愁 最後我們要給大英帝國一個非常好的建議 大英帝國需要的是世界級的人才 除了大英帝國一流的牛津劍橋、大英帝國理工學院、倫敦大學、倫敦政經學院所培養出來的大英帝國本土人才 大英帝國還要向世界求取人才 這樣才能夠讓大英帝國重振雄風,避免落日餘暉 這次旅遊最大的結論就是我不適合大英帝國 大英帝國也不適合我 因為我不是大英帝國所需要的人才 我只是行萬里路,讀萬卷書的讀書人 勉強算個知識人吧,算個知識份子 大英帝國需要的是像愛因斯坦這種天才 或像亞歷山大橫跨歐亞非三大陸的雄才大略的領導者 總之大英帝國需要的是國內及國外的人才 才能重建大英帝國雄風 大英帝國如何吸引人才呢? 當然啦,就是要讓旅居在大英帝國成為不是不可能的任務。台灣本身就是一個地獄 就是 地獄有十八種 就是地下一層地獄 地下兩層地獄 還有 你看 地獄有十八種 就是地下一層地獄 地下第二層地獄 地下三層 那烏克蘭和俄羅斯目前是屬於地下十八層地獄 那台灣是屬於地下一層地獄 所以台灣是地獄 ，那或許蔡英文總統 及清德總統統治下， 他會說這個是太平盛世， 如果你說台灣是地獄 ，請你拿出具體的證據， 那我現在就要講出具體的證據 ，台灣是地下一層地獄的證據在哪裡 ，證據很簡單， 大家都看得到 ，第一 第一 台灣是地下一層地獄的第一個證據就是 高雄國小老師在學校被霸凌 然後自殺身亡 ，然後勞動部有一個年輕有為的資訊工程師， 也被蔡宜龍霸凌 陳宜龍霸凌， 然後自殺身亡， 南投有一個國小老師也是被霸凌 然後自殺身亡， 這種案例是非常非常的多 在台灣各處都在發生， 不管是職場霸凌 學校霸凌 ，很多霸凌事件都導致了命案 ，這個就是地下一層地獄最明顯最具體的象徵， 然後還有行人地獄 ，台灣的行人地獄是全世界舉世皆知 全世界最有名的就是台灣行人地獄 那這當然就是台灣地下地獄最直接的證據 就是行人地獄 這是因為主管機關不重視交通安全 很多樹木很多建築都會擋住行車視線 都會擋住行車視線 但是主管機關都在混吃等死， 完全沒有在處理這些擋住視線的樹木 花草 還有建築物 ，反正別人的孩子死不完 ，主管機關的小孩都躲去美國了 ，所以死不了， 那就是地下地獄最具體的象徵 然後還有每天癌症死亡率 在台灣癌症的死亡率特別特別的高 ，在五十年前根本沒有這麼高的癌症死亡率， 為什麼五十年後 台灣的癌症死亡率以及台灣癌症的罹患率 為什麼這麼的高 ，每三分鐘就有一位台灣人得到癌症 每幾個小時就有一個人死於癌症 ，這個就是地層八層地獄最明顯的象徵 ，所以來清德及蔡英文要去檢討反省,把台灣變成了地下十八層地獄。",NEGATIVE,0.96
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,"Prospect of whitby or the grapes on the north side of the Thames eastern London on the Thames,(heigh tide river Thames under the rear balconies )",NEGATIVE,0.52
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,Adorei o seu vídeo!!! Congrats ❤❤❤❤,POSITIVE,1.0
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,Was that statue in Camden Amy Winehouse?,NEGATIVE,1.0
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,Adding some of these to my itinerary,POSITIVE,0.88
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,Saving this for my next trip! Such,POSITIVE,1.0
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,"THANK YOU for giving Camden the love it deserves. It’s disheartening to see all the “avoid Camden” posts and videos, but as a non-Londoner who’s visited Camden a few times, I’ve loved every visit.",POSITIVE,1.0
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,"Stop your. Colonisation of Greenland 
🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱🇬🇱",NEGATIVE,1.0
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,very informative! can you tell me as a tourist how can I get the Tesco club card? the online registration is asking for a UK address so can I put my hotel address? thanks,POSITIVE,0.99
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,Just spent 2 weeks in the UK and cannot believe how over-populated London is. Crazy. I did like Islington and Farringdon for quiet.,NEGATIVE,0.99
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,"The best London experiences are usually not the famous landmarks, but the pubs, parks, markets, and streets in between.",POSITIVE,1.0
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,Another expert,POSITIVE,0.99
London tourist attractions vlog,The 14 Best Things to Do in London (By a Travel Expert) 🇬🇧,Does he have nice idea?,NEGATIVE,0.99
